power,war_name,start_year,end_year,duration,outcome,primary_enemy,enemy_modern_equiv,enemy_type,posture,home_away,self_capital,enemy_capital,distance_km
France,Italian War of 1521,1521,1526,5,Lost,Spain,Spain,European,Offensive,Away,Paris,Valladolid,973
France,War of the League of Cognac,1526,1530,4,Lost,Spain,Spain,European,Offensive,Away,Paris,Valladolid,973
France,Italian War of 1536,1536,1538,2,Indecisive,Spain,Spain,European,Offensive,Away,Paris,Valladolid,973
France,Italian War of 1542,1542,1546,4,Indecisive,Spain,Spain,European,Offensive,Away,Paris,London,343
France,Rough Wooing,1547,1551,4,Won,Kingdom of England,United Kingdom,European,Defensive,Away,Paris,London,343
France,Italian War of 1551,1551,1559,8,Lost,Spain,Spain,European,Offensive,Away,Paris,Valladolid,973
France,French-Iroquois Wars,1609,1701,92,Indecisive,Iroquois Confederacy,,Colonial / Eastern,Offensive,Away,Paris,Onondaga,5831
France,Anglo-French War of 1627,1627,1629,2,Won,Kingdom of England,United Kingdom,European,Defensive,Home,Paris,London,343
France,War of the Mantuan Succession,1628,1631,3,Won,Spain,Spain,European,Offensive,Away,Paris,Madrid,1052
France,Thirty Years' War,1635,1648,13,Won,Spain,Spain,European,Offensive,Away,Paris,Madrid,1052
France,Franco-Spanish War,1635,1659,24,Won,Spain,Spain,European,Offensive,Away,Paris,Madrid,1052
France,War of Devolution,1667,1668,1,Won,Spain,Spain,European,Offensive,Away,Paris,Madrid,1052
France,Franco-Dutch War,1672,1678,6,Won,Spain,Spain,European,Offensive,Away,Paris,Madrid,1052
France,Franco-Algerian War,1681,1688,7,Indecisive,Regency of Algiers,Algeria,Colonial / Eastern,Offensive,Away,Paris,Algiers,1347
France,War of the Reunions,1683,1684,1,Won,Spain,Spain,European,Offensive,Away,Paris,Madrid,1052
France,War of the League of Augsburg,1688,1697,9,Indecisive,England,United Kingdom,European,Offensive,Away,Paris,London,343
France,War of the Spanish Succession,1701,1714,13,Indecisive,England,United Kingdom,European,Defensive,Home,Paris,London,343
France,War of the Quadruple Alliance,1718,1720,2,Won,Spain,Spain,European,Offensive,Away,Paris,Madrid,1052
France,War of the Polish Succession,1733,1738,5,Won,Austria,Austria,European,Offensive,Away,Paris,Vienna,1033
France,War of the Austrian Succession,1740,1748,8,Indecisive,Great Britain,United Kingdom,European,Offensive,Away,Paris,London,343
France,Seven Years' War,1754,1763,9,Lost,Great Britain,United Kingdom,European,Offensive,Away,Paris,London,343
France,Conquest of Corsica,1768,1769,1,Won,Corsican Republic,Italy,European,Offensive,Away,Paris,Corte,899
France,American Revolutionary War,1778,1783,5,Won,Kingdom of Great Britain,United Kingdom,European,Offensive,Away,Paris,London,343
France,War of the First Coalition,1792,1797,5,Won,Great Britain,United Kingdom,European,Defensive,Home,Paris,London,343
France,Italian Campaign of 1796,1796,1797,1,Won,Habsburg Austria,Austria,European,Offensive,Away,Paris,Vienna,1033
France,French invasion of Switzerland,1798,1798,1,Won,Old Swiss Confederacy,Switzerland,European,Offensive,Away,Paris,Bern,435
France,French Campaign in Egypt,1798,1801,3,Lost,Ottoman Empire,Turkey,Colonial / Eastern,Offensive,Away,Paris,London,343
France,War of the Second Coalition,1799,1802,3,Won,Austria,Austria,European,Defensive,Away,Paris,Vienna,1033
France,Haitian Revolution,1802,1803,1,Lost,Haitian rebels,Haiti,Colonial / Eastern,Offensive,Away,Paris,Port-au-Prince,7356
France,Caribbean Campaign,1803,1810,7,Lost,Great Britain,United Kingdom,European,Defensive,Away,Paris,London,343
France,War of the Third Coalition,1805,1805,1,Won,Austria,Austria,European,Offensive,Away,Paris,London,343
France,War of the Fourth Coalition,1806,1807,1,Won,Prussia,Germany,European,Offensive,Away,Paris,Berlin,877
France,Peninsular War,1808,1814,6,Lost,Great Britain,United Kingdom,European,Offensive,Away,Paris,London,343
France,War of the Fifth Coalition,1809,1809,1,Won,Austrian Empire,Austria,European,Defensive,Away,Paris,Vienna,1033
France,Mauritius campaign,1810,1810,1,Lost,Great Britain,United Kingdom,European,Defensive,Away,Paris,London,343
France,French invasion of Russia,1812,1812,1,Lost,Russian Empire,Russia,European,Offensive,Away,Paris,St. Petersburg,2163
France,War of the Sixth Coalition,1813,1814,1,Lost,Prussia,Germany,European,Defensive,Home,Paris,London,343
France,Waterloo Campaign,1815,1815,1,Lost,Prussia,Germany,European,Offensive,Away,Paris,London,343
France,French intervention in Spain,1823,1823,1,Won,Spanish liberal Cortes,Spain,European,Offensive,Away,Paris,Madrid,1052
France,French conquest of Algeria,1830,1847,17,Won,Emirate of Mascara,Algeria,Colonial / Eastern,Offensive,Away,Paris,Mascara,1507
France,Belgian Revolution,1831,1832,1,Won,Netherlands,Netherlands,European,Offensive,Away,Paris,The Hague,383
France,First Franco-Moroccan War,1844,1844,1,Won,Morocco,Morocco,Colonial / Eastern,Offensive,Away,Paris,Fez,1757
France,French-Tahitian War,1844,1847,3,Won,Kingdom of Tahiti,,Colonial / Eastern,Offensive,Away,Paris,Papeete,15710
France,Kabyle Campaigns,1851,1857,6,Won,Kabyle tribal forces,Algeria,Colonial / Eastern,Offensive,Away,Paris,Algiers,1347
France,Crimean War,1853,1856,3,Won,Russian Empire,Russia,European,Offensive,Away,Paris,St. Petersburg,2163
France,Franco-Trarzan War,1855,1858,3,Won,Emirate of Trarza,Mauritania,Colonial / Eastern,Offensive,Away,Paris,Boutilimit,3805
France,Second Opium War,1856,1860,4,Won,China,China,Colonial / Eastern,Offensive,Away,Paris,Beijing,8216
France,Franco-Toucouleur Wars,1857,1887,30,Won,Toucouleur Empire,Mali,Colonial / Eastern,Offensive,Away,Paris,Ségou,4006
France,Cochinchina Campaign,1858,1862,4,Won,Vietnam,Vietnam,Colonial / Eastern,Offensive,Away,Paris,Huế,9705
France,Franco-Austrian War,1859,1859,1,Won,Austrian Empire,Austria,European,Offensive,Away,Paris,Vienna,1033
France,French intervention in Mexico,1862,1867,5,Lost,Mexican Republicans,Mexico,Colonial / Eastern,Offensive,Away,Paris,Mexico City,9195
France,Franco-Prussian War,1870,1871,1,Lost,Prussia,Germany,European,Defensive,Home,Paris,Berlin,877
France,Mokrani Revolt,1871,1872,1,Won,Kabyle rebels,Algeria,Colonial / Eastern,Defensive,Away,Paris,Algiers,1347
France,Conquest of Tunisia,1881,1881,1,Won,Beylik of Tunis,Tunisia,Colonial / Eastern,Offensive,Away,Paris,Tunis,1482
France,Tonkin Campaign,1883,1886,3,Won,Vietnam,Vietnam,Colonial / Eastern,Offensive,Away,Paris,Huế,9705
France,First Franco-Hova War,1883,1886,3,Won,Merina Kingdom (Madagascar),Madagascar,Colonial / Eastern,Offensive,Away,Paris,Antananarivo,8759
France,Franco-Mandingo Wars,1883,1898,15,Won,Wassoulou Empire,Guinea,Colonial / Eastern,Offensive,Away,Paris,Bissandougou,4453
France,Sino-French War,1884,1885,1,Won,China,China,Colonial / Eastern,Offensive,Away,Paris,Beijing,8216
France,Franco-Dahomean Wars,1892,1894,2,Won,Kingdom of Dahomey,Benin,Colonial / Eastern,Offensive,Away,Paris,Abomey,4634
France,Franco-Siamese War,1893,1893,1,Won,Kingdom of Siam,Thailand,Colonial / Eastern,Offensive,Away,Paris,Bangkok,9442
France,Conquest of Madagascar,1894,1896,2,Won,Merina Kingdom (Madagascar),Madagascar,Colonial / Eastern,Offensive,Away,Paris,Antananarivo,8759
France,Voulet-Chanoine Expedition,1898,1900,2,Won,Sultanate of Damagaram,Niger,Colonial / Eastern,Offensive,Away,Paris,Zinder,3945
France,Wadai War,1906,1911,5,Won,Sultanate of Wadai,Chad,Colonial / Eastern,Offensive,Away,Paris,Abéché,4247
France,French conquest of Morocco,1907,1912,5,Won,Morocco,Morocco,Colonial / Eastern,Offensive,Away,Paris,Fez,1757
France,World War I,1914,1918,4,Won,Germany,Germany,European,Defensive,Home,Paris,Vienna,1033
France,Franco-Turkish War in Cilicia,1919,1921,2,Lost,Turkey,Turkey,Colonial / Eastern,Defensive,Away,Paris,Ankara,2597
France,Rif War,1925,1926,1,Won,Republic of the Rif,Morocco,Colonial / Eastern,Offensive,Away,Paris,Ajdir,1610
France,Great Syrian Revolt,1925,1927,2,Won,Druze rebels,Syria,Colonial / Eastern,Defensive,Away,Paris,Damascus,3272
France,Battle of France,1939,1940,1,Lost,Germany,Germany,European,Defensive,Home,Paris,Berlin,877
France,Franco-Thai War,1940,1941,1,Lost,Thailand,Thailand,Colonial / Eastern,Defensive,Away,Paris,Bangkok,9442
France,Indochina War,1946,1954,8,Lost,Việt Minh,Vietnam,Colonial / Eastern,Defensive,Away,Paris,Hanoi,9196
France,Algerian War,1954,1962,8,Lost,FLN,Algeria,Colonial / Eastern,Defensive,Away,Paris,Algiers,1347
France,Suez Crisis,1956,1956,1,Lost,Egypt,Egypt,Colonial / Eastern,Offensive,Away,Paris,Cairo,3210
France,French Intervention in Chad,1968,1984,16,Won,Libya,Libya,Colonial / Eastern,Defensive,Away,Paris,Tripoli,1990
England/UK,French Invasion of Normandy,1202,1204,2,Lost,France,France,European,Defensive,Away,London,Paris,343
England/UK,Anglo-French War of 1213,1213,1214,1,Lost,France,France,European,Offensive,Away,London,Paris,343
England/UK,First Barons' War,1215,1217,2,Won,France,France,European,Defensive,Home,London,Paris,343
England/UK,Welsh Wars of Edward I,1277,1283,6,Won,Wales,United Kingdom,European,Offensive,Away,London,Caernarfon,335
England/UK,First War of Scottish Independence,1296,1328,32,Lost,Scotland,United Kingdom,European,Offensive,Away,London,Edinburgh,533
England/UK,Hundred Years' War,1337,1453,116,Lost,France,France,European,Offensive,Away,London,Paris,343
England/UK,Battle of Flodden,1513,1513,1,Won,Scotland,United Kingdom,European,Defensive,Home,London,Edinburgh,533
England/UK,Rough Wooing,1544,1551,7,Lost,Scotland,United Kingdom,European,Offensive,Away,London,Edinburgh,533
England/UK,Anglo-Spanish War of 1585,1585,1604,19,Won,Spain,Spain,European,Defensive,Home,London,Madrid,1263
England/UK,Anglo-Spanish War of 1625,1625,1630,5,Lost,Spain,Spain,European,Offensive,Away,London,Madrid,1263
England/UK,Anglo-French War of 1627,1627,1629,2,Lost,France,France,European,Offensive,Away,London,Paris,343
England/UK,Bishops' Wars,1639,1640,1,Lost,Scotland,United Kingdom,European,Offensive,Away,London,Edinburgh,533
England/UK,Cromwell's Conquest of Ireland,1649,1653,4,Won,Irish Confederates,Ireland,European,Offensive,Away,London,Dublin,463
England/UK,First Anglo-Dutch War,1652,1654,2,Won,Dutch Republic,Netherlands,European,Offensive,Away,London,The Hague,311
England/UK,Anglo-Spanish War of 1654,1654,1660,6,Won,Spain,Spain,European,Offensive,Away,London,Madrid,1263
England/UK,Second Anglo-Dutch War,1665,1667,2,Lost,Dutch Republic,Netherlands,European,Offensive,Away,London,The Hague,311
England/UK,Third Anglo-Dutch War,1672,1674,2,Indecisive,Dutch Republic,Netherlands,European,Offensive,Away,London,The Hague,311
England/UK,Nine Years' War,1688,1697,9,Indecisive,France,France,European,Defensive,Away,London,Paris,343
England/UK,War of the Spanish Succession,1701,1714,13,Won,France,France,European,Offensive,Away,London,Paris,343
England/UK,War of the Quadruple Alliance,1718,1720,2,Won,Spain,Spain,European,Offensive,Away,London,Madrid,1263
England/UK,War of the Austrian Succession,1740,1748,8,Indecisive,France,France,European,Offensive,Away,London,Paris,343
England/UK,Seven Years' War,1756,1763,7,Won,France,France,European,Offensive,Away,London,Paris,343
England/UK,First Anglo-Mysore War,1767,1769,2,Indecisive,Kingdom of Mysore,India,Colonial / Eastern,Offensive,Away,London,Seringapatam,8019
England/UK,First Anglo-Maratha War,1775,1782,7,Indecisive,Maratha Confederacy,India,Colonial / Eastern,Offensive,Away,London,Pune,7306
England/UK,American Revolutionary War,1775,1783,8,Lost,United States,United States,European,Defensive,Away,London,Philadelphia,5700
England/UK,Second Anglo-Mysore War,1780,1784,4,Indecisive,Kingdom of Mysore,India,Colonial / Eastern,Defensive,Away,London,Seringapatam,8019
England/UK,Third Anglo-Mysore War,1790,1792,2,Won,Kingdom of Mysore,India,Colonial / Eastern,Offensive,Away,London,Seringapatam,8019
England/UK,War of the First Coalition,1793,1797,4,Lost,France,France,European,Offensive,Away,London,Paris,343
England/UK,War of the Second Coalition,1798,1802,4,Won,France,France,European,Offensive,Away,London,Paris,343
England/UK,Fourth Anglo-Mysore War,1799,1799,1,Won,Kingdom of Mysore,India,Colonial / Eastern,Offensive,Away,London,Seringapatam,8019
England/UK,Second Anglo-Maratha War,1803,1805,2,Won,Maratha Confederacy,India,Colonial / Eastern,Offensive,Away,London,Pune,7306
England/UK,Caribbean Campaign,1803,1810,7,Won,France,France,European,Offensive,Away,London,Paris,343
England/UK,War of the Third Coalition,1805,1805,1,Indecisive,France,France,European,Offensive,Away,London,Paris,343
England/UK,Peninsular War,1808,1814,6,Won,France,France,European,Offensive,Away,London,Paris,343
England/UK,War of 1812,1812,1815,3,Indecisive,United States,United States,European,Defensive,Away,London,Washington,5897
England/UK,War of the Sixth Coalition,1813,1814,1,Won,France,France,European,Offensive,Away,London,Paris,343
England/UK,Anglo-Nepalese War,1814,1816,2,Won,Kingdom of Nepal,Nepal,Colonial / Eastern,Offensive,Away,London,Kathmandu,7331
England/UK,Waterloo Campaign,1815,1815,1,Won,France,France,European,Offensive,Away,London,Paris,343
England/UK,Third Anglo-Maratha War,1817,1818,1,Won,Maratha Confederacy,India,Colonial / Eastern,Offensive,Away,London,Pune,7306
England/UK,First Anglo-Burmese War,1824,1826,2,Won,Burma,Myanmar,Colonial / Eastern,Offensive,Away,London,Amarapura,8533
England/UK,First Anglo-Ashanti War,1824,1831,7,Indecisive,Ashanti Empire,Ghana,Colonial / Eastern,Offensive,Away,London,Kumasi,4985
England/UK,First Anglo-Afghan War,1839,1842,3,Lost,Afghanistan,Afghanistan,Colonial / Eastern,Offensive,Away,London,Kabul,5707
England/UK,First Opium War,1839,1842,3,Won,China,China,Colonial / Eastern,Offensive,Away,London,Beijing,8140
England/UK,First Anglo-Sikh War,1845,1846,1,Won,Sikh Empire,India,Colonial / Eastern,Defensive,Away,London,Lahore,6286
England/UK,New Zealand Wars,1845,1872,27,Won,Māori tribes,New Zealand,Colonial / Eastern,Offensive,Away,London,Auckland,18335
England/UK,Second Anglo-Sikh War,1848,1849,1,Won,Sikh Empire,India,Colonial / Eastern,Offensive,Away,London,Lahore,6286
England/UK,Second Anglo-Burmese War,1852,1853,1,Won,Burma,Myanmar,Colonial / Eastern,Offensive,Away,London,Amarapura,8533
England/UK,Crimean War,1853,1856,3,Won,Russia,Russia,European,Offensive,Away,London,St. Petersburg,2099
England/UK,Second Opium War,1856,1860,4,Won,China,China,Colonial / Eastern,Offensive,Away,London,Beijing,8140
England/UK,Indian Rebellion of 1857,1857,1858,1,Won,Indian rebels,India,Colonial / Eastern,Defensive,Away,London,Delhi,6713
England/UK,Anglo-Abyssinian War,1868,1868,1,Won,Ethiopian Empire,Ethiopia,Colonial / Eastern,Offensive,Away,London,Gondar,5482
England/UK,Third Anglo-Ashanti War,1873,1874,1,Won,Ashanti Empire,Ghana,Colonial / Eastern,Offensive,Away,London,Kumasi,4985
England/UK,Anglo-Perak War,1875,1876,1,Won,Perak Sultanate,Malaysia,Colonial / Eastern,Offensive,Away,London,Kuala Kangsar,10351
England/UK,Second Anglo-Afghan War,1878,1880,2,Won,Afghanistan,Afghanistan,Colonial / Eastern,Offensive,Away,London,Kabul,5707
England/UK,Anglo-Zulu War,1879,1879,1,Won,Zulu Kingdom,South Africa,Colonial / Eastern,Offensive,Away,London,Ulundi,9396
England/UK,First Boer War,1880,1881,1,Lost,South African Republic,South Africa,European,Offensive,Away,London,Pretoria,9026
England/UK,Mahdist War,1881,1899,18,Won,Mahdist Sudan,Sudan,Colonial / Eastern,Offensive,Away,London,Omdurman,4923
England/UK,Anglo-Egyptian War,1882,1882,1,Won,Egypt,Egypt,Colonial / Eastern,Offensive,Away,London,Cairo,3512
England/UK,Fourth Anglo-Ashanti War,1895,1900,5,Won,Ashanti Empire,Ghana,Colonial / Eastern,Offensive,Away,London,Kumasi,4985
England/UK,Second Boer War,1899,1902,3,Won,South African Republic,South Africa,European,Offensive,Away,London,Pretoria,9026
England/UK,Boxer Rebellion,1900,1901,1,Won,China,China,Colonial / Eastern,Offensive,Away,London,Beijing,8140
England/UK,World War I,1914,1918,4,Won,Germany,Germany,European,Defensive,Away,London,Vienna,1235
England/UK,Third Anglo-Afghan War,1919,1919,1,Won,Afghanistan,Afghanistan,Colonial / Eastern,Defensive,Away,London,Kabul,5707
England/UK,Irish War of Independence,1919,1921,2,Lost,Irish Republic,Ireland,European,Defensive,Home,London,Dublin,463
England/UK,Iraqi Revolt,1920,1920,1,Won,Iraqi tribes,Iraq,Colonial / Eastern,Defensive,Away,London,Baghdad,4090
England/UK,Arab Revolt in Palestine,1936,1939,3,Won,Palestinian Arab rebels,,Colonial / Eastern,Defensive,Away,London,Jerusalem,3611
England/UK,World War II,1939,1945,6,Won,Germany,Germany,European,Defensive,Away,London,Berlin,931
England/UK,Palestine Emergency,1945,1948,3,Lost,Jewish insurgents,Israel,Colonial / Eastern,Defensive,Away,London,Jerusalem,3611
England/UK,Malayan Emergency,1948,1960,12,Won,Malayan Communist Party,Malaysia,Colonial / Eastern,Defensive,Away,London,Kuala Lumpur,10546
England/UK,Mau Mau Uprising,1952,1960,8,Won,Mau Mau,Kenya,Colonial / Eastern,Defensive,Away,London,Nairobi,6820
England/UK,Cyprus Emergency,1955,1959,4,Lost,EOKA,Cyprus,Colonial / Eastern,Defensive,Away,London,Nicosia,3218
England/UK,Suez Crisis,1956,1956,1,Lost,Egypt,Egypt,Colonial / Eastern,Offensive,Away,London,Cairo,3512
England/UK,Konfrontasi,1963,1966,3,Won,Indonesia,Indonesia,Colonial / Eastern,Defensive,Away,London,Jakarta,11718
England/UK,Aden Emergency,1963,1967,4,Lost,NLF,Yemen,Colonial / Eastern,Defensive,Away,London,Aden,5898
England/UK,Falklands War,1982,1982,1,Won,Argentina,Argentina,European,Defensive,Away,London,Buenos Aires,11127
Spain,Fernando III's Reconquista,1212,1248,36,Won,Almohad Caliphate,Morocco,Colonial / Eastern,Offensive,Home,Toledo,Marrakesh,982
Spain,War of the Sicilian Vespers,1282,1302,20,Won,France,France,European,Defensive,Away,Toledo,Paris,1120
Spain,War of the Castilian Succession,1475,1479,4,Won,Portugal,Portugal,European,Defensive,Home,Valladolid,Paris,973
Spain,Granada War,1482,1492,10,Won,Emirate of Granada,Spain,Colonial / Eastern,Offensive,Home,Valladolid,Granada,506
Spain,First Italian War,1494,1498,4,Won,France,France,European,Defensive,Away,Valladolid,Paris,973
Spain,Second Italian War,1499,1504,5,Won,France,France,European,Defensive,Away,Valladolid,Paris,973
Spain,Conquest of Navarre,1512,1515,3,Won,Kingdom of Navarre,Spain,European,Offensive,Home,Valladolid,Paris,973
Spain,Conquest of the Aztec Empire,1519,1521,2,Won,Aztec Empire,Mexico,Colonial / Eastern,Offensive,Away,Valladolid,Tenochtitlan,8939
Spain,Italian War of 1521,1521,1526,5,Won,France,France,European,Offensive,Away,Valladolid,Paris,973
Spain,Conquest of Yucatán,1524,1546,22,Won,Maya kingdoms,Mexico,Colonial / Eastern,Offensive,Away,Valladolid,Mérida,8067
Spain,Conquest of Central America,1524,1548,24,Won,Maya kingdoms,Mexico,Colonial / Eastern,Offensive,Away,Valladolid,Mérida,8067
Spain,Conquest of New Granada,1525,1540,15,Won,Muisca Confederation,Colombia,Colonial / Eastern,Offensive,Away,Valladolid,Bogotá,7951
Spain,Spanish-Ottoman Wars,1529,1574,45,Indecisive,Ottoman Empire,Turkey,Colonial / Eastern,Offensive,Away,Valladolid,Constantinople,2796
Spain,Conquest of the Inca Empire,1532,1572,40,Won,Inca Empire,Peru,Colonial / Eastern,Offensive,Away,Valladolid,Cusco,9205
Spain,Italian War of 1536,1536,1538,2,Indecisive,France,France,European,Defensive,Away,Valladolid,Paris,973
Spain,Italian War of 1542,1542,1546,4,Indecisive,France,France,European,Defensive,Away,Valladolid,Paris,973
Spain,Schmalkaldic War,1546,1547,1,Won,Protestant League,Germany,European,Offensive,Away,Valladolid,Wittenberg,1736
Spain,Arauco War,1550,1656,106,Indecisive,Mapuche,Chile,Colonial / Eastern,Offensive,Away,Valladolid,Arauco,11194
Spain,Italian War of 1551,1551,1559,8,Won,France,France,European,Defensive,Away,Valladolid,Paris,973
Spain,Conquest of the Philippines,1565,1571,6,Won,Sultanate of Sulu,Philippines,Colonial / Eastern,Offensive,Away,Madrid,Jolo,12371
Spain,Eighty Years' War,1568,1648,80,Lost,Dutch Republic,Netherlands,European,Defensive,Away,Madrid,The Hague,1432
Spain,Anglo-Spanish War of 1585,1585,1604,19,Lost,England,United Kingdom,European,Offensive,Away,Madrid,London,1263
Spain,Thirty Years' War,1618,1648,30,Lost,France,France,European,Defensive,Away,Madrid,Paris,1052
Spain,Anglo-Spanish War of 1625,1625,1630,5,Won,England,United Kingdom,European,Defensive,Away,Madrid,London,1263
Spain,Franco-Spanish War,1635,1659,24,Lost,France,France,European,Defensive,Away,Madrid,Paris,1052
Spain,Portuguese Restoration War,1640,1668,28,Lost,Portugal,Portugal,European,Offensive,Away,Madrid,Lisbon,503
Spain,War of Devolution,1667,1668,1,Lost,France,France,European,Defensive,Away,Madrid,Paris,1052
Spain,Franco-Dutch War,1672,1678,6,Lost,France,France,European,Defensive,Away,Madrid,Paris,1052
Spain,War of the Reunions,1683,1684,1,Lost,France,France,European,Defensive,Away,Madrid,Paris,1052
Spain,Nine Years' War,1688,1697,9,Indecisive,France,France,European,Offensive,Away,Madrid,Paris,1052
Spain,War of the Spanish Succession,1701,1714,13,Indecisive,England,United Kingdom,European,Defensive,Home,Madrid,London,1263
Spain,War of the Quadruple Alliance,1718,1720,2,Lost,France,France,European,Offensive,Away,Madrid,London,1263
Spain,War of the Polish Succession,1733,1738,5,Won,Habsburg Austria,Austria,European,Offensive,Away,Madrid,Vienna,1808
Spain,War of the Austrian Succession,1740,1748,8,Indecisive,Austria,Austria,European,Offensive,Away,Madrid,London,1263
Spain,Seven Years' War,1762,1763,1,Lost,Great Britain,United Kingdom,European,Offensive,Away,Madrid,London,1263
Spain,American Revolutionary War,1779,1783,4,Won,Britain,United Kingdom,European,Offensive,Away,Madrid,London,1263
Spain,War of the Pyrenees,1793,1795,2,Lost,France,France,European,Defensive,Home,Madrid,Paris,1052
Spain,Peninsular War,1808,1814,6,Won,France,France,European,Defensive,Home,Madrid,Paris,1052
Spain,Río de la Plata War of Independence,1810,1818,8,Lost,Argentine rebels,Argentina,Colonial / Eastern,Defensive,Away,Madrid,Santiago,10702
Spain,Mexican War of Independence,1810,1821,11,Lost,Mexican rebels,Mexico,Colonial / Eastern,Defensive,Away,Madrid,Mexico City,9062
Spain,Venezuelan War of Independence,1810,1823,13,Lost,Gran Colombia,Colombia,Colonial / Eastern,Defensive,Away,Madrid,Bogotá,8011
Spain,Peruvian War of Independence,1820,1826,6,Lost,Peru,Peru,Colonial / Eastern,Defensive,Away,Madrid,Lima,9509
Spain,Spanish-Moroccan War,1859,1860,1,Won,Morocco,Morocco,Colonial / Eastern,Offensive,Away,Madrid,Fez,719
Spain,Dominican Restoration War,1863,1865,2,Lost,Dominican Republic,Dominican Republic,Colonial / Eastern,Offensive,Away,Madrid,Santo Domingo,6693
Spain,Chincha Islands War,1864,1866,2,Lost,Peru,Peru,European,Offensive,Away,Madrid,Lima,9509
Spain,Ten Years' War in Cuba,1868,1878,10,Won,Cuban rebels,Cuba,Colonial / Eastern,Defensive,Away,Madrid,Havana,7440
Spain,Cuban War of Independence,1895,1898,3,Lost,Cuban rebels,Cuba,Colonial / Eastern,Defensive,Away,Madrid,Havana,7440
Spain,Philippine Revolution,1896,1898,2,Lost,Philippine rebels,Philippines,Colonial / Eastern,Defensive,Away,Madrid,Manila,11655
Spain,Spanish-American War,1898,1898,1,Lost,United States,United States,European,Defensive,Away,Madrid,Washington,6088
Spain,Rif War,1921,1927,6,Won,Rif Republic,Morocco,Colonial / Eastern,Offensive,Away,Madrid,Ajdir,588
Spain,Ifni War,1957,1958,1,Won,Morocco,Morocco,Colonial / Eastern,Defensive,Away,Madrid,Rabat,763
Denmark,Conquest of Estonia,1219,1227,8,Won,Estonian tribes,Estonia,Colonial / Eastern,Offensive,Away,Copenhagen,Tallinn,836
Denmark,Danish-German War,1225,1227,2,Lost,Hanseatic League,Germany,European,Defensive,Home,Copenhagen,Kiel,216
Denmark,First Dano-Hanseatic War,1361,1365,4,Won,Hanseatic League,Germany,European,Offensive,Away,Copenhagen,Lübeck,234
Denmark,Great Hanseatic War,1367,1370,3,Lost,Hanseatic League,Germany,European,Defensive,Home,Copenhagen,Cologne,645
Denmark,Dano-Swedish War of 1501,1501,1520,19,Won,Sweden,Sweden,European,Offensive,Away,Copenhagen,Stockholm,521
Denmark,Swedish War of Liberation,1521,1523,2,Lost,Sweden,Sweden,European,Defensive,Away,Copenhagen,Stockholm,521
Denmark,Conquest of Dithmarschen,1559,1559,1,Won,Dithmarschen,Germany,European,Offensive,Away,Copenhagen,Kiel,216
Denmark,Northern Seven Years' War,1563,1570,7,Indecisive,Sweden,Sweden,European,Offensive,Away,Copenhagen,Stockholm,521
Denmark,Kalmar War,1611,1613,2,Won,Sweden,Sweden,European,Offensive,Away,Copenhagen,Stockholm,521
